Date,Weekday,Month,TrainNo,TrainType,Direction,TripLine,StationID,StopSeq,ScheduledArr,FirstDep,LastArr,Period,IsHoliday,HolidayType,IsTerminal,RunMin,StationClass,SideTrackCount,IsDouble,MixIndex,SpeedDiff,PrevDelay,DelayTime,IsDelayed,IsDelayed_Research,StationName
2026-03-01,,,2163,區間,1,1.0,4080,48.0,14:17,10:09,14:17,離峰,1,週末,1,4.0,,,,4.0,13.0,0.0,0,0,0,嘉義
2026-03-01,,,217,傾斜式自強,1,0.0,1040,8.0,13:39,11:02,13:39,離峰,1,週末,1,6.0,,,,3.0,3.0,0.0,0,0,0,樹林
2026-03-01,,,2173,區間,1,1.0,4080,74.0,15:11,08:53,15:11,離峰,1,週末,1,4.0,,,,4.0,32.0,0.0,0,0,0,嘉義
2026-03-01,,,2174,區間,0,1.0,7360,75.0,15:55,09:50,15:55,離峰,1,週末,1,6.0,,,,3.0,10.0,0.0,0,0,0,瑞芳
2026-03-01,,,218,傾斜式自強,0,0.0,7000,8.0,13:18,10:39,13:18,離峰,1,週末,1,57.0,,,,4.0,121.0,0.0,0,0,0,花蓮
2026-03-01,,,2183,區間,1,1.0,3470,42.0,15:46,12:08,15:46,離峰,1,週末,1,5.0,,,,3.0,15.0,0.0,0,0,0,斗六
2026-03-01,,,2184,區間,0,1.0,1150,48.0,14:42,10:47,14:42,離峰,1,週末,1,3.0,,,,1.0,1.0,0.0,0,0,0,北湖
2026-03-01,,,219,傾斜式自強,1,0.0,1040,14.0,15:10,12:13,15:10,離峰,1,週末,1,6.0,,,,3.0,3.0,0.0,0,0,0,樹林
2026-03-01,,,2190,區間,0,1.0,3230,14.0,13:50,13:03,13:50,離峰,1,週末,1,4.0,,,,4.0,84.0,0.0,0,0,0,豐原
2026-03-01,,,2191,區間,1,1.0,3360,14.0,15:41,14:44,15:41,離峰,1,週末,1,6.0,,,,4.0,8.0,0.0,0,0,0,彰化
2026-03-01,,,2193,區間,1,1.0,4080,74.0,17:24,11:01,17:24,尖峰,1,週末,1,4.0,,,,3.0,40.0,1.0,0,0,0,嘉義
2026-03-01,,,2194,區間,0,1.0,0900,74.0,17:38,11:40,17:38,尖峰,1,週末,1,5.0,,,,2.0,2.0,0.0,0,0,0,基隆
2026-03-01,,,2203,區間,1,1.0,4080,48.0,18:29,14:03,18:29,尖峰,1,週末,1,4.0,,,,4.0,50.0,0.0,1,0,0,嘉義
2026-03-01,,,2204,區間,0,1.0,1150,48.0,16:41,12:39,16:41,離峰,1,週末,1,3.0,,,,1.0,2.0,0.0,0,0,0,北湖
2026-03-01,,,2213,區間,1,1.0,4080,74.0,19:26,12:54,19:26,尖峰,1,週末,1,4.0,,,,2.0,32.0,0.0,0,0,0,嘉義
2026-03-01,,,2214,區間,0,1.0,0900,74.0,20:07,13:29,20:07,離峰,1,週末,1,5.0,,,,2.0,2.0,9.0,8,1,1,基隆
