Date,TaiwanDate,TrainNo,MeanDelay,MaxDelay,ObservedStopCount_Actual,TrainType,Direction,TripLine,CoverageRate,ObservedStopCount,ScheduledStopCount,IsHoliday,HolidayType,Period,TerminalDelay,IsDelayed,IsDelayed_Research
2026-03-18,2026-03-18,133,0.3333333333333333,3.0,27,自強,1,2,0.9643,27,28,0,平日,離峰,,0,0
2026-03-18,2026-03-18,134,0.46153846153846156,2.0,26,自強,0,1,0.8966,26,29,0,平日,離峰,,0,0
2026-03-18,2026-03-18,135,1.1363636363636365,4.0,22,自強,1,1,0.9167,22,24,0,平日,離峰,,0,0
2026-03-18,2026-03-18,136,0.09090909090909091,1.0,11,傾斜式自強,0,1,1.0,11,11,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,137,0.09090909090909091,1.0,11,傾斜式自強,1,1,1.0,11,11,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,138,0.7777777777777778,3.0,18,自強,0,1,0.7826,18,23,0,平日,離峰,,0,0
2026-03-18,2026-03-18,139,0.6666666666666666,2.0,15,自強,1,1,0.625,15,24,0,平日,離峰,,0,0
2026-03-18,2026-03-18,141,0.16666666666666666,1.0,12,自強,1,1,0.5,12,24,0,平日,離峰,,0,0
2026-03-18,2026-03-18,142,1.1,3.0,20,自強,0,1,0.7692,20,26,0,平日,離峰,,0,0
2026-03-18,2026-03-18,143,1.0,2.0,9,自強,1,1,0.6,9,15,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,144,0.375,2.0,16,自強,0,1,0.5714,16,28,0,平日,離峰,,0,0
2026-03-18,2026-03-18,145,0.5454545454545454,3.0,11,自強,1,2,0.3929,11,28,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,146,1.0,3.0,15,自強,0,2,0.5556,15,27,0,平日,離峰,,0,0
2026-03-18,2026-03-18,148,0.0,0.0,7,自強,0,1,0.875,7,8,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,149,1.6666666666666667,4.0,9,自強,1,1,0.3333,9,27,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,150,0.4166666666666667,3.0,12,自強,0,1,0.4615,12,26,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,152,0.2222222222222222,1.0,9,自強,0,1,0.36,9,25,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,154,0.6666666666666666,2.0,6,自強,0,1,0.5455,6,11,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,161,0.2,3.0,20,自強,1,1,0.9091,20,22,0,平日,深夜,3.0,0,0
2026-03-18,2026-03-18,162,1.0625,5.0,16,傾斜式自強,0,1,0.9412,16,17,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,165,0.5,1.0,12,傾斜式自強,1,1,1.0,12,12,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,168,0.3333333333333333,3.0,12,自強,0,1,0.5217,12,23,0,平日,離峰,,0,0
2026-03-18,2026-03-18,170,0.8148148148148148,3.0,27,自強,0,1,1.0,27,27,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,172,0.4857142857142857,2.0,35,自強,0,1,0.9722,35,36,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,175,0.25,2.0,28,自強,1,1,0.7778,28,36,0,平日,離峰,,0,0
2026-03-18,2026-03-18,176,0.9166666666666666,3.0,24,自強,0,1,1.0,24,24,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,177,0.7307692307692307,2.0,26,自強,1,1,0.7429,26,35,0,平日,離峰,,0,0
2026-03-18,2026-03-18,181,0.21428571428571427,2.0,14,自強,1,1,0.4667,14,30,0,平日,離峰,,0,0
